Kód obce,Název obce,Voliči v seznamu,Vydané obálky,Platné hlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,OBČANÉ 2011-SPRAVEDL. PRO LIDI,Referendum o Evropské unii,TOP 09,ANO 2011,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
559997,Mirošov,1 865,1 061,1 046,"10,42 %","0,76 %","0,00 %","7,64 %","0,19 %","3,72 %","9,65 %","0,95 %","0,76 %","1,24 %","0,09 %","0,19 %","8,89 %","0,09 %","0,00 %","2,96 %","34,22 %","0,28 %","2,96 %","0,09 %","0,76 %","0,76 %","0,00 %","12,90 %","0,38 %"
560006,Mlečice,250,164,164,"9,75 %","0,00 %","0,00 %","11,58 %","0,00 %","4,26 %","14,63 %","1,82 %","0,60 %","1,82 %","0,00 %","0,00 %","6,70 %","0,00 %","0,00 %","4,26 %","29,26 %","0,00 %","2,43 %","0,00 %","0,00 %","0,00 %","0,00 %","10,97 %","1,82 %"
560014,Mýto,1 208,733,732,"14,20 %","0,13 %","0,13 %","7,65 %","0,00 %","7,78 %","9,97 %","1,36 %","1,22 %","1,50 %","0,00 %","0,27 %","8,46 %","0,00 %","0,00 %","2,73 %","28,82 %","0,13 %","2,32 %","0,00 %","0,95 %","0,40 %","0,00 %","11,88 %","0,00 %"
566837,Němčovice,129,92,92,"9,78 %","0,00 %","0,00 %","2,17 %","0,00 %","0,00 %","3,26 %","2,17 %","0,00 %","0,00 %","0,00 %","0,00 %","8,69 %","0,00 %","0,00 %","11,95 %","43,47 %","0,00 %","1,08 %","0,00 %","2,17 %","0,00 %","0,00 %","15,21 %","0,00 %"
541192,Nevid,141,82,81,"9,87 %","0,00 %","0,00 %","12,34 %","0,00 %","3,70 %","7,40 %","1,23 %","2,46 %","0,00 %","0,00 %","0,00 %","7,40 %","0,00 %","0,00 %","0,00 %","41,97 %","0,00 %","1,23 %","0,00 %","0,00 %","0,00 %","1,23 %","11,11 %","0,00 %"
560057,Osek,999,678,676,"10,65 %","0,44 %","0,00 %","7,10 %","0,14 %","5,17 %","9,61 %","1,92 %","1,33 %","0,59 %","0,14 %","0,29 %","9,02 %","0,00 %","0,14 %","3,84 %","31,65 %","0,14 %","2,81 %","0,00 %","0,59 %","0,59 %","0,29 %","11,68 %","1,77 %"
566993,Ostrovec-Lhotka,95,80,80,"27,50 %","0,00 %","0,00 %","2,50 %","0,00 %","8,75 %","3,75 %","1,25 %","0,00 %","0,00 %","0,00 %","0,00 %","6,25 %","0,00 %","0,00 %","3,75 %","27,50 %","0,00 %","0,00 %","0,00 %","2,50 %","1,25 %","0,00 %","15,00 %","0,00 %"
566861,Plískov,102,81,80,"26,25 %","0,00 %","0,00 %","5,00 %","0,00 %","7,50 %","10,00 %","3,75 %","0,00 %","0,00 %","0,00 %","1,25 %","7,50 %","0,00 %","0,00 %","5,00 %","30,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","3,75 %","0,00 %"
560081,Podmokly,214,135,135,"5,18 %","0,74 %","0,00 %","6,66 %","0,00 %","8,14 %","11,85 %","0,74 %","2,22 %","2,96 %","0,00 %","0,00 %","10,37 %","0,00 %","0,00 %","0,74 %","37,77 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,74 %","10,37 %","1,48 %"
579131,Příkosice,332,212,212,"8,96 %","0,00 %","0,00 %","8,49 %","0,47 %","6,60 %","9,43 %","0,47 %","1,41 %","1,41 %","0,00 %","0,00 %","12,73 %","0,00 %","0,00 %","3,30 %","28,77 %","0,00 %","3,77 %","0,00 %","0,47 %","0,94 %","0,94 %","11,79 %","0,00 %"
560111,Přívětice,177,130,130,"10,00 %","0,00 %","0,00 %","2,30 %","0,00 %","5,38 %","16,92 %","0,00 %","0,76 %","1,53 %","0,00 %","0,00 %","13,07 %","0,00 %","0,00 %","4,61 %","35,38 %","0,00 %","1,53 %","0,00 %","0,00 %","2,30 %","0,00 %","6,15 %","0,00 %"
560120,Radnice,1 459,842,835,"10,17 %","0,35 %","0,11 %","10,53 %","0,00 %","3,11 %","7,06 %","1,19 %","1,19 %","1,43 %","0,11 %","0,23 %","12,09 %","0,00 %","0,11 %","3,83 %","34,25 %","0,11 %","1,67 %","0,11 %","0,35 %","0,11 %","0,59 %","11,13 %","0,00 %"
566942,Raková,193,129,129,"8,52 %","0,00 %","0,00 %","14,72 %","0,77 %","3,87 %","8,52 %","0,77 %","1,55 %","4,65 %","0,00 %","0,00 %","6,97 %","0,00 %","0,00 %","2,32 %","34,88 %","0,00 %","2,32 %","0,00 %","0,77 %","0,00 %","0,00 %","8,52 %","0,77 %"
559717,Rokycany,10 876,6 227,6 174,"14,01 %","0,14 %","0,03 %","7,02 %","0,11 %","3,32 %","8,81 %","1,16 %","0,84 %","1,50 %","0,08 %","0,25 %","10,60 %","0,06 %","0,14 %","4,11 %","32,23 %","0,21 %","2,55 %","0,01 %","0,87 %","0,11 %","0,11 %","11,12 %","0,50 %"
560146,Sebečice,74,54,54,"11,11 %","0,00 %","0,00 %","5,55 %","0,00 %","5,55 %","16,66 %","5,55 %","0,00 %","0,00 %","0,00 %","0,00 %","1,85 %","0,00 %","0,00 %","5,55 %","35,18 %","3,70 %","5,55 %","0,00 %","0,00 %","0,00 %","0,00 %","3,70 %","0,00 %"
546488,Sirá,108,76,76,"23,68 %","0,00 %","0,00 %","3,94 %","0,00 %","7,89 %","21,05 %","2,63 %","1,31 %","0,00 %","0,00 %","0,00 %","6,57 %","0,00 %","0,00 %","2,63 %","11,84 %","0,00 %","2,63 %","0,00 %","1,31 %","0,00 %","0,00 %","14,47 %","0,00 %"
566845,Skomelno,172,127,127,"7,87 %","0,00 %","0,78 %","9,44 %","0,00 %","7,08 %","14,17 %","1,57 %","0,78 %","0,00 %","0,00 %","0,78 %","7,08 %","0,00 %","0,00 %","0,78 %","33,07 %","0,00 %","1,57 %","0,00 %","3,14 %","0,00 %","0,00 %","11,81 %","0,00 %"
