Kód obce,Název obce,Voliči v seznamu,Vydané obálky,Platné hlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,Česká str.sociálně demokrat.,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
555631,Teplá,2 365,1 058,1 046,"7,64 %","0,38 %","7,64 %","2,10 %","16,25 %","0,76 %","0,76 %","1,14 %","0,00 %","0,66 %","9,75 %","0,00 %","2,10 %","32,50 %","0,28 %","4,78 %","0,38 %","0,09 %","0,28 %","12,23 %","0,19 %"
554855,Trstěnice,301,165,165,"6,66 %","0,00 %","3,03 %","6,66 %","15,75 %","0,60 %","0,60 %","0,00 %","0,00 %","0,00 %","12,12 %","0,00 %","0,60 %","36,36 %","0,00 %","1,21 %","0,60 %","0,00 %","0,00 %","15,15 %","0,60 %"
539023,Třebeň,326,206,203,"7,38 %","0,00 %","2,46 %","6,40 %","10,83 %","0,98 %","0,49 %","0,49 %","0,98 %","0,00 %","10,83 %","0,00 %","0,98 %","38,91 %","0,00 %","3,44 %","0,00 %","0,49 %","0,49 %","14,28 %","0,49 %"
554880,Tři Sekery,748,393,384,"12,23 %","0,52 %","4,42 %","1,04 %","6,51 %","0,00 %","0,52 %","1,04 %","0,00 %","0,00 %","23,69 %","0,00 %","1,56 %","33,59 %","0,52 %","3,64 %","0,52 %","0,26 %","0,00 %","9,89 %","0,00 %"
539619,Tuřany,110,73,73,"12,32 %","0,00 %","6,84 %","9,58 %","6,84 %","0,00 %","0,00 %","1,36 %","0,00 %","0,00 %","6,84 %","0,00 %","1,36 %","45,20 %","0,00 %","0,00 %","0,00 %","1,36 %","1,36 %","6,84 %","0,00 %"
539481,Valy,384,241,240,"8,75 %","0,83 %","3,75 %","4,58 %","3,75 %","0,41 %","0,83 %","0,83 %","0,00 %","0,00 %","13,33 %","0,00 %","4,16 %","41,66 %","0,00 %","3,33 %","1,25 %","0,00 %","0,00 %","12,08 %","0,41 %"
539279,Velká Hleďsebe,1 816,1 039,1 027,"12,65 %","0,68 %","7,59 %","4,28 %","7,59 %","0,58 %","0,58 %","1,07 %","0,00 %","0,19 %","14,99 %","0,09 %","3,70 %","32,22 %","0,19 %","2,72 %","0,58 %","0,19 %","0,19 %","9,73 %","0,09 %"
578002,Velký Luh,127,67,66,"7,57 %","0,00 %","3,03 %","16,66 %","16,66 %","1,51 %","1,51 %","0,00 %","0,00 %","0,00 %","6,06 %","0,00 %","0,00 %","30,30 %","1,51 %","3,03 %","0,00 %","1,51 %","0,00 %","10,60 %","0,00 %"
539376,Vlkovice,104,72,72,"1,38 %","2,77 %","6,94 %","2,77 %","11,11 %","0,00 %","4,16 %","0,00 %","1,38 %","0,00 %","13,88 %","0,00 %","1,38 %","33,33 %","1,38 %","8,33 %","1,38 %","1,38 %","0,00 %","8,33 %","0,00 %"
539074,Vojtanov,168,102,102,"2,94 %","0,00 %","1,96 %","3,92 %","12,74 %","0,00 %","1,96 %","0,98 %","0,00 %","0,00 %","5,88 %","0,00 %","1,96 %","49,01 %","0,00 %","0,98 %","0,98 %","0,00 %","0,00 %","15,68 %","0,98 %"
539431,Zádub-Závišín,274,165,164,"16,46 %","0,00 %","3,04 %","5,48 %","6,09 %","0,00 %","0,00 %","1,21 %","0,00 %","0,00 %","12,19 %","0,00 %","4,26 %","29,87 %","0,00 %","7,92 %","0,60 %","0,00 %","0,60 %","12,19 %","0,00 %"
